and,00000,R
or,00001,R
add,00010,R
nor,00011,R
sub,00110,R
slt,00111,R
ori,01001,I
addi,01010,I
srl,01100,R
sra,01101,R
sll,01110,R
lui,01111,I
mtt,10000,M,0000
mft,10000,M,0001
disr,10000,M,0010
disw,10000,M,0011
in,10000,M,0100
out,10000,M,0101
lw,10010,R
beq,10110,B
jr,10111,R
jal,11000,J
j,11001,J
sw,11010,R
bne,11110,B
mter,11111,M,0000
mfer,11111,M,0001
eret,11111,M,0010
